date,forecast_sales,base_case,optimistic_10pct,pessimistic_10pct,optimistic_15pct,pessimistic_15pct
2017-08-16,861776.1472495069,861776.1472495069,947953.7619744577,775598.5325245563,991042.5693369329,732509.7251620808
2017-08-17,830867.2568740663,830867.2568740663,913953.982561473,747780.5311866597,955497.3454051762,706237.1683429563
2017-08-18,870445.6459125659,870445.6459125659,957490.2105038225,783401.0813213093,1001012.4927994506,739878.799025681
2017-08-19,896744.9123270282,896744.9123270282,986419.4035597311,807070.4210943254,1031256.6491760823,762233.175477974
2017-08-20,933987.5497982411,933987.5497982411,1027386.3047780653,840588.794818417,1074085.6822679772,793889.417328505
2017-08-21,870009.6829365307,870009.6829365307,957010.6512301838,783008.7146428776,1000511.1353770102,739508.230496051
2017-08-22,842840.7449787564,842840.7449787564,927124.8194766322,758556.6704808808,969266.8567255698,716414.6332319429
2017-08-23,860409.9402671751,860409.9402671751,946450.9342938927,774368.9462404576,989471.4313072512,731348.4492270988
2017-08-24,844397.6569859493,844397.6569859493,928837.4226845442,759957.8912873544,971057.3055338416,717738.0084380568
2017-08-25,882117.6158487492,882117.6158487492,970329.3774336241,793905.8542638742,1014435.2582260615,749799.9734714368
2017-08-26,906005.2631744306,906005.2631744306,996605.7894918737,815404.7368569876,1041906.0526505951,770104.473698266
2017-08-27,944575.3493870809,944575.3493870809,1039032.884325789,850117.8144483728,1086261.651795143,802889.0469790187
2017-08-28,888208.4520219809,888208.4520219809,977029.297224179,799387.6068197829,1021439.7198252779,754977.1842186837
2017-08-29,901185.3098325017,901185.3098325017,991303.8408157519,811066.7788492516,1036363.1063073769,766007.5133576264
2017-08-30,907830.1177681913,907830.1177681913,998613.1295450105,817047.1059913721,1044004.6354334198,771655.6001029626
2017-08-31,869409.5295338081,869409.5295338081,956350.482487189,782468.5765804274,999820.9589638793,738998.1001037369
